CRASH DATETIME,DAY OF WEEK CODE,DAY OF WEEK DESCRIPTION,CRASH CLASSIFICATION CODE,CRASH CLASSIFICATION DESCRIPTION,COLLISION ON PRIVATE PROPERTY,PEDESTRIAN INVOLVED,MANNER OF IMPACT CODE,MANNER OF IMPACT DESCRIPTION,ALCOHOL INVOLVED,DRUG INVOLVED,ROAD SURFACE CODE,ROAD SURFACE DESCRIPTION,LIGHTING CONDITION CODE,LIGHTING CONDITION DESCRIPTION,WEATHER 1 CODE,WEATHER 1 DESCRIPTION,WEATHER 2 CODE,WEATHER 2 DESCRIPTION,SEATBELT USED,MOTORCYCLE INVOLVED,MOTORCYCLE HELMET USED,BICYCLED INVOLVED,BICYCLE HELMET USED,LATITUDE,LONGITUDE,PRIMARY CONTRIBUTING CIRCUMSTANCE CODE,PRIMARY CONTRIBUTING CIRCUMSTANCE DESCRIPTION,SCHOOL BUS INVOLVED CODE,SCHOOL BUS INVOLVED DESCRIPTION,WORK ZONE,WORK ZONE LOCATION CODE,WORK ZONE LOCATION DESCRIPTION,WORK ZONE TYPE CODE,WORK ZONE TYPE DESCRIPTION,WORKERS PRESENT,the_geom,COUNTY CODE,COUNTY NAME,YEAR
2013 Jul 16 04:29:00 PM,3,Tuesday,3,Personal Injury Crash,N,N,3,Angle,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.65461,-75.6162,4,Disregard Traffic Signal,0,No,N,,,,,N,POINT (-75.616199999799 39.654609999839),N,New Castle,2013
2014 Aug 22 10:00:00 PM,6,Friday,2,Property Damage Only,Y,N,99,Unknown,N,N,99,Unknown,5,Dark-Not Lighted,99,Unknown,,,N,N,N,N,N,38.55828,-75.0583,99,Unknown,0,No,N,,,,,N,POINT (-75.058299999921 38.55827999976),S,Sussex,2014
2012 Jul 22 04:34:00 PM,1,Sunday,3,Personal Injury Crash,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,,,Y,Y,N,N,N,39.76618,-75.48671,11,"Driver inattention, distraction, or fatigue",0,No,N,,,,,N,POINT (-75.486710000364 39.766179999806),N,New Castle,2012
2014 May 26 04:26:00 AM,2,Monday,2,Property Damage Only,Y,N,3,Angle,Y,N,1,Dry,5,Dark-Not Lighted,1,Clear,,,Y,N,N,N,N,38.70144,-75.08305,12,Driving in a careless or reckless manner,0,No,N,,,,,N,POINT (-75.083049999947 38.70144000029),S,Sussex,2014
2009 Mar 03 03:44:00 PM,3,Tuesday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,4,Ice/Frost,1,Daylight,1,Clear,,,Y,N,N,N,N,39.7390264,-75.6635328,,,0,No,N,,,,,N,POINT (-75.663532799855 39.739026399918),N,New Castle,2009
2012 Jun 18 07:27:00 PM,2,Monday,1,Non-Reportable,Y,N,99,Unknown,N,N,99,Unknown,99,Unknown,99,Unknown,,,N,N,N,N,N,39.76939,-75.50346,99,Unknown,0,No,N,,,,,N,POINT (-75.503459999728 39.76939),N,New Castle,2012
2015 May 16 04:51:00 PM,7,Saturday,2,Property Damage Only,N,N,3,Angle,N,N,1,Dry,1,Daylight,1,Clear,,,Y,Y,N,N,N,39.7187,-75.59999,2,Failed to yield right of way,0,No,N,,,,,N,POINT (-75.59999000021 39.718700000197),N,New Castle,2015
2009 Sep 19 12:49:00 AM,6,Friday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,4,Dark-Lighted,1,Clear,,,Y,N,N,N,N,39.3058262,-75.6071969,,,0,No,N,,,,,N,POINT (-75.607196899867 39.305826199864),K,Kent,2009
2012 Jun 18 04:11:00 AM,2,Monday,1,Non-Reportable,Y,N,4,"Sideswipe, same direction",N,N,1,Dry,4,Dark-Lighted,1,Clear,,,Y,N,N,N,N,39.72083,-75.5555,99,Unknown,0,No,N,,,,,N,POINT (-75.55549999972 39.720829999829),N,New Castle,2012
2010 Nov 26 12:41:00 AM,5,Thursday,1,Non-Reportable,N,N,88,Other,N,N,1,Dry,4,Dark-Lighted,2,Cloudy,,,Y,N,N,N,N,39.77851,-75.50895,17,Animal in Roadway - Deer,0,No,N,,,,,N,POINT (-75.508949999688 39.778510000133),N,New Castle,2010
