CRASH DATETIME,DAY OF WEEK CODE,DAY OF WEEK DESCRIPTION,CRASH CLASSIFICATION CODE,CRASH CLASSIFICATION DESCRIPTION,COLLISION ON PRIVATE PROPERTY,PEDESTRIAN INVOLVED,MANNER OF IMPACT CODE,MANNER OF IMPACT DESCRIPTION,ALCOHOL INVOLVED,DRUG INVOLVED,ROAD SURFACE CODE,ROAD SURFACE DESCRIPTION,LIGHTING CONDITION CODE,LIGHTING CONDITION DESCRIPTION,WEATHER 1 CODE,WEATHER 1 DESCRIPTION,WEATHER 2 CODE,WEATHER 2 DESCRIPTION,SEATBELT USED,MOTORCYCLE INVOLVED,MOTORCYCLE HELMET USED,BICYCLED INVOLVED,BICYCLE HELMET USED,LATITUDE,LONGITUDE,PRIMARY CONTRIBUTING CIRCUMSTANCE CODE,PRIMARY CONTRIBUTING CIRCUMSTANCE DESCRIPTION,SCHOOL BUS INVOLVED CODE,SCHOOL BUS INVOLVED DESCRIPTION,WORK ZONE,WORK ZONE LOCATION CODE,WORK ZONE LOCATION DESCRIPTION,WORK ZONE TYPE CODE,WORK ZONE TYPE DESCRIPTION,WORKERS PRESENT,the_geom,COUNTY CODE,COUNTY NAME,YEAR
2012 Jun 08 06:37:00 PM,6,Friday,1,Non-Reportable,Y,N,4,"Sideswipe, same direction",N,N,1,Dry,5,Dark-Not Lighted,1,Clear,NA,NA,Y,N,N,N,N,39.04205,-75.5485,99,Unknown,0,No,N,NA,NA,NA,NA,N,POINT (-75.548500000039 39.042050000145),K,Kent,"2,012"
2014 Oct 02 11:57:00 AM,5,Thursday,2,Property Damage Only,N,N,4,"Sideswipe, same direction",N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.71497,-75.54716,6,Improper passing,0,No,N,NA,NA,NA,NA,N,POINT (-75.547160000198 39.714970000183),N,New Castle,"2,014"
2009 Feb 19 12:49:00 PM,5,Thursday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.4857136,-75.6496485,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.649648499909 39.485713600273),N,New Castle,"2,009"
2015 Aug 18 04:40:00 AM,3,Tuesday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,1,Dry,5,Dark-Not Lighted,1,Clear,NA,NA,Y,N,N,N,N,39.67932,-75.66628,16,Mechanical defects,0,No,N,NA,NA,NA,NA,N,POINT (-75.666279999809 39.679319999936),N,New Castle,"2,015"
2011 Nov 17 11:08:00 PM,5,Thursday,2,Property Damage Only,N,N,88,Other,N,N,1,Dry,5,Dark-Not Lighted,2,Cloudy,NA,NA,Y,N,N,N,N,39.0345,-75.48767,11,"Driver inattention, distraction, or fatigue",0,No,N,NA,NA,NA,NA,N,POINT (-75.487670000263 39.034500000196),K,Kent,"2,011"
2015 Oct 10 01:45:00 AM,6,Friday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,99,Unknown,5,Dark-Not Lighted,99,Unknown,NA,NA,Y,N,N,N,N,39.04247,-75.54894,99,Unknown,0,No,N,NA,NA,NA,NA,N,POINT (-75.548940000255 39.042469999676),K,Kent,"2,015"
2015 Aug 16 01:35:00 AM,7,Saturday,3,Personal Injury Crash,N,N,1,Front to rear,N,N,1,Dry,5,Dark-Not Lighted,1,Clear,NA,NA,Y,N,N,N,N,38.76817,-75.2893,21,Pedestrian,0,No,N,NA,NA,NA,NA,N,POINT (-75.289300000162 38.768170000147),S,Sussex,"2,015"
2011 Aug 30 06:14:00 AM,3,Tuesday,2,Property Damage Only,N,N,5,"Sideswipe, opposite direction",N,Y,1,Dry,5,Dark-Not Lighted,1,Clear,NA,NA,Y,N,N,N,N,39.15571,-75.60287,10,Driving under the influence,0,No,N,NA,NA,NA,NA,N,POINT (-75.60286999991 39.155710000016),K,Kent,"2,011"
2015 Jul 06 03:38:00 PM,2,Monday,2,Property Damage Only,N,N,4,"Sideswipe, same direction",N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,38.57904,-75.28928,6,Improper passing,0,No,N,NA,NA,NA,NA,N,POINT (-75.28928000007 38.579040000045),S,Sussex,"2,015"
2015 Apr 16 11:57:00 AM,5,Thursday,3,Personal Injury Crash,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.6654,-75.60445,11,"Driver inattention, distraction, or fatigue",0,No,N,NA,NA,NA,NA,N,POINT (-75.60444999995 39.665400000265),N,New Castle,"2,015"
